!SIL	SIL
<SPOKEN_NOISE>	SPN
183번길	1 8 3 f7 m4 e3 f0 m20 e7 
183번지	1 8 3 f7 m4 e3 f12 m20 
184	1 8 4 
1844	1 8 4 4 
1848	1 8 4 8 
185	1 8 5 
1850	1 8 5 0 
1857	1 8 5 7 
186	1 8 6 
1865	1 8 6 5 
186번길	1 8 6 f7 m4 e3 f0 m20 e7 
186번지	1 8 6 f7 m4 e3 f12 m20 
187	1 8 7 
1875	1 8 7 5 
1879번지	1 8 7 9 f7 m4 e3 f12 m20 
187번길에	1 8 7 f7 m4 e3 f0 m20 e7 f11 m5 
187번지	1 8 7 f7 m4 e3 f12 m20 
188	1 8 8 
1886	1 8 8 6 
189	1 8 9 
1891	1 8 9 1 
1898번지	1 8 9 8 f7 m4 e3 f12 m20 
18길	1 8 f0 m20 e7 
18단지	1 8 f3 m0 e3 f12 m20 
18번	1 8 f7 m4 e3 
18번길	1 8 f7 m4 e3 f0 m20 e7 
18번지	1 8 f7 m4 e3 f12 m20 
18에게	1 8 f11 m5 f0 m5 
19	1 9 
190	1 9 0 
190번	1 9 0 f7 m4 e3 
190번길	1 9 0 f7 m4 e3 f0 m20 e7 
190번지	1 9 0 f7 m4 e3 f12 m20 
191	1 9 1 
1913번지	1 9 1 3 f7 m4 e3 f12 m20 
1918	1 9 1 8 
192	1 9 2 
1923	1 9 2 3 
1929	1 9 2 9 
193	1 9 3 
1930	1 9 3 0 
193번길	1 9 3 f7 m4 e3 f0 m20 e7 
193번지	1 9 3 f7 m4 e3 f12 m20 
194	1 9 4 
1943	1 9 4 3 
1947	1 9 4 7 
194번길	1 9 4 f7 m4 e3 f0 m20 e7 
194번지	1 9 4 f7 m4 e3 f12 m20 
195	1 9 5 
19520	1 9 5 2 0 
1958	1 9 5 8 
195번지	1 9 5 f7 m4 e3 f12 m20 
196	1 9 6 
1960	1 9 6 0 
1965	1 9 6 5 
1969	1 9 6 9 
196번길	1 9 6 f7 m4 e3 f0 m20 e7 
196번지	1 9 6 f7 m4 e3 f12 m20 
197	1 9 7 
1972	1 9 7 2 
1972번지	1 9 7 2 f7 m4 e3 f12 m20 
1973	1 9 7 3 
197번길	1 9 7 f7 m4 e3 f0 m20 e7 
198	1 9 8 
1981	1 9 8 1 
1987번지	1 9 8 7 f7 m4 e3 f12 m20 
198번길	1 9 8 f7 m4 e3 f0 m20 e7 
199	1 9 9 
1992	1 9 9 2 
1997	1 9 9 7 
199번길	1 9 9 f7 m4 e3 f0 m20 e7 
19국경에게	1 9 f0 m13 e0 f0 m6 e20 f11 m5 f0 m5 
19길	1 9 f0 m20 e7 
19단지	1 9 f3 m0 e3 f12 m20 
19번지	1 9 f7 m4 e3 f12 m20 
19에게	1 9 f11 m5 f0 m5 
19차	1 9 f14 m0 
19층	1 9 f14 m18 e20 
19한테	1 9 f18 m0 e3 f16 m5 
1q	1 q 
1st	1 s t 
1가	1 f0 m0 
1공단	1 f0 m8 e20 f3 m0 e3 
1공단로	1 f0 m8 e20 f3 m0 e3 f5 m8 
1공영주차장	1 f0 m8 e20 f11 m6 e20 f12 m13 f14 m0 f12 m0 e20 
1공장	1 f0 m8 e20 f12 m0 e20 
1급	1 f0 m18 e16 
1길	1 f0 m20 e7 
1나길	1 f2 m0 f0 m20 e7 
1다길	1 f3 m0 f0 m20 e7 
1단계	1 f3 m0 e3 f0 m7 
1단지	1 f3 m0 e3 f12 m20 
1등	1 f3 m18 e20 
1리터	1 f5 m20 f16 m4 
1마길	1 f6 m0 f0 m20 e7 
1박	1 f7 m0 e0 
1박2일	1 f7 m0 e0 2 f11 m20 e7 
1번	1 f7 m4 e3 
1번가	1 f7 m4 e3 f0 m0 
1번길	1 f7 m4 e3 f0 m20 e7 
1번에게	1 f7 m4 e3 f11 m5 f0 m5 
1번지	1 f7 m4 e3 f12 m20 
1빌딩	1 f7 m20 e7 f3 m20 e20 
1순환로	1 f9 m13 e3 f18 m9 e3 f5 m8 
1에게	1 f11 m5 f0 m5 
1육교	1 f11 m17 e0 f0 m12 
1인식당	1 f11 m20 e3 f9 m20 e0 f3 m0 e20 
1인자	1 f11 m20 e3 f12 m0 
1주차장	1 f12 m13 f14 m0 f12 m0 e20 
1지점	1 f12 m20 f12 m4 e15 
1차	1 f14 m0 
1층	1 f14 m18 e20 
1코스	1 f15 m8 f9 m18 
1터미널	1 f16 m4 f6 m20 f2 m4 e7 
1호	1 f18 m8 
1호선	1 f18 m8 f9 m4 e3 
1호에게	1 f18 m8 f11 m5 f0 m5 
1호점	1 f18 m8 f12 m4 e15 
2	2 
20	2 0 
200	2 0 0 
2000	2 0 0 0 
2001동	2 0 0 1 f3 m8 e20 
2001아울렛	2 0 0 1 f11 m0 f11 m13 e7 f5 m5 e18 
2003동	2 0 0 3 f3 m8 e20 
2004	2 0 0 4 
2004동	2 0 0 4 f3 m8 e20 
200g	2 0 0 g 
200번길	2 0 0 f7 m4 e3 f0 m20 e7 
200번지	2 0 0 f7 m4 e3 f12 m20 
201	2 0 1 
2019	2 0 1 9 
201동	2 0 1 f3 m8 e20 
201번길	2 0 1 f7 m4 e3 f0 m20 e7 
202	2 0 2 
2022번길	2 0 2 2 f7 m4 e3 f0 m20 e7 
2026	2 0 2 6 
2027	2 0 2 7 
202동	2 0 2 f3 m8 e20 
202번지	2 0 2 f7 m4 e3 f12 m20 
202호	2 0 2 f18 m8 
203	2 0 3 
2036	2 0 3 6 
203동	2 0 3 f3 m8 e20 
203번지	2 0 3 f7 m4 e3 f12 m20 
204	2 0 4 
2045	2 0 4 5 
204동	2 0 4 f3 m8 e20 
204번길	2 0 4 f7 m4 e3 f0 m20 e7 
204번지	2 0 4 f7 m4 e3 f12 m20 
205	2 0 5 
2054	2 0 5 4 
2058	2 0 5 8 
205동	2 0 5 f3 m8 e20 
205번지	2 0 5 f7 m4 e3 f12 m20 
206	2 0 6 
206401에게	2 0 6 4 0 1 f11 m5 f0 m5 
206동	2 0 6 f3 m8 e20 
206번길	2 0 6 f7 m4 e3 f0 m20 e7 
206번지	2 0 6 f7 m4 e3 f12 m20 
206호	2 0 6 f18 m8 
207	2 0 7 
2077	2 0 7 7 
207동	2 0 7 f3 m8 e20 
207번길	2 0 7 f7 m4 e3 f0 m20 e7 
208	2 0 8 
2087번지	2 0 8 7 f7 m4 e3 f12 m20 
2089	2 0 8 9 
208동	2 0 8 f3 m8 e20 
208번길	2 0 8 f7 m4 e3 f0 m20 e7 
209	2 0 9 
2095	2 0 9 5 
209동	2 0 9 f3 m8 e20 
209번길	2 0 9 f7 m4 e3 f0 m20 e7 
209번지	2 0 9 f7 m4 e3 f12 m20 
20가길	2 0 f0 m0 f0 m20 e7 
20길	2 0 f0 m20 e7 
20길에	2 0 f0 m20 e7 f11 m5 
20단지	2 0 f3 m0 e3 f12 m20 
20도로	2 0 f3 m8 f5 m8 
20번길	2 0 f7 m4 e3 f0 m20 e7 
20번지	2 0 f7 m4 e3 f12 m20 
20차	2 0 f14 m0 
21	2 1 
210	2 1 0 
2103호	2 1 0 3 f18 m8 
210번길	2 1 0 f7 m4 e3 f0 m20 e7 
211	2 1 1 
2111번	2 1 1 1 f7 m4 e3 
2118	2 1 1 8 
211동	2 1 1 f3 m8 e20 
211동에게	2 1 1 f3 m8 e20 f11 m5 f0 m5 
211번길	2 1 1 f7 m4 e3 f0 m20 e7 
211번지	2 1 1 f7 m4 e3 f12 m20 
211에	2 1 1 f11 m5 
212	2 1 2 
2120	2 1 2 0 
2126	2 1 2 6 
212동	2 1 2 f3 m8 e20 
212번지	2 1 2 f7 m4 e3 f12 m20 
213	2 1 3 
2130	2 1 3 0 
2131	2 1 3 1 
2133	2 1 3 3 
213번지	2 1 3 f7 m4 e3 f12 m20 
214	2 1 4 
2141	2 1 4 1 
2145번지	2 1 4 5 f7 m4 e3 f12 m20 
2145호	2 1 4 5 f18 m8 
2148	2 1 4 8 
2149	2 1 4 9 
214길	2 1 4 f0 m20 e7 
214동	2 1 4 f3 m8 e20 
214번길	2 1 4 f7 m4 e3 f0 m20 e7 
214번지	2 1 4 f7 m4 e3 f12 m20 
215	2 1 5 
2155	2 1 5 5 
2156	2 1 5 6 
215동	2 1 5 f3 m8 e20 
215번지	2 1 5 f7 m4 e3 f12 m20 
216	2 1 6 
2166	2 1 6 6 
216동	2 1 6 f3 m8 e20 
216번길	2 1 6 f7 m4 e3 f0 m20 e7 
216번지	2 1 6 f7 m4 e3 f12 m20 
217	2 1 7 
2171번지	2 1 7 1 f7 m4 e3 f12 m20 
2173	2 1 7 3 
217동	2 1 7 f3 m8 e20 
217번길	2 1 7 f7 m4 e3 f0 m20 e7 
217번지	2 1 7 f7 m4 e3 f12 m20 
218	2 1 8 
218번지	2 1 8 f7 m4 e3 f12 m20 
219	2 1 9 
2192	2 1 9 2 
2194	2 1 9 4 
21c	2 1 c 
21가길	2 1 f0 m0 f0 m20 e7 
21길	2 1 f0 m20 e7 
21나길	2 1 f2 m0 f0 m20 e7 
21단지	2 1 f3 m0 e3 f12 m20 
21도	2 1 f3 m8 
21번길	2 1 f7 m4 e3 f0 m20 e7 
21번지	2 1 f7 m4 e3 f12 m20 
21세기	2 1 f9 m5 f0 m20 
21세기병원	2 1 f9 m5 f0 m20 f7 m6 e20 f11 m14 e3 
21세기약국	2 1 f9 m5 f0 m20 f11 m2 e0 f0 m13 e0 
21세기정형외과	2 1 f9 m5 f0 m20 f12 m4 e20 f18 m6 e20 f11 m11 f0 m9 
21안길	2 1 f11 m0 e3 f0 m20 e7 
22	2 2 
220	2 2 0 
220도	2 2 0 f3 m8 
220동	2 2 0 f3 m8 e20 
220번지	2 2 0 f7 m4 e3 f12 m20 
221	2 2 1 
2212	2 2 1 2 
2214	2 2 1 4 
2219번길	2 2 1 9 f7 m4 e3 f0 m20 e7 
221동	2 2 1 f3 m8 e20 
221번지	2 2 1 f7 m4 e3 f12 m20 
222	2 2 2 
223	2 2 3 
2234	2 2 3 4 
223번길	2 2 3 f7 m4 e3 f0 m20 e7 
224	2 2 4 
2241동	2 2 4 1 f3 m8 e20 
224번길	2 2 4 f7 m4 e3 f0 m20 e7 
224번지	2 2 4 f7 m4 e3 f12 m20 
225	2 2 5 
2253	2 2 5 3 
2257번지	2 2 5 7 f7 m4 e3 f12 m20 
225번길	2 2 5 f7 m4 e3 f0 m20 e7 
225번지	2 2 5 f7 m4 e3 f12 m20 
226	2 2 6 
2265번길	2 2 6 5 f7 m4 e3 f0 m20 e7 
226번길	2 2 6 f7 m4 e3 f0 m20 e7 
226번지	2 2 6 f7 m4 e3 f12 m20 
227	2 2 7 
2272번안길	2 2 7 2 f7 m4 e3 f11 m0 e3 f0 m20 e7 
2275	2 2 7 5 
227번길	2 2 7 f7 m4 e3 f0 m20 e7 
227번지	2 2 7 f7 m4 e3 f12 m20 
228	2 2 8 
228번길	2 2 8 f7 m4 e3 f0 m20 e7 
229	2 2 9 
2290번길	2 2 9 0 f7 m4 e3 f0 m20 e7 
229번길	2 2 9 f7 m4 e3 f0 m20 e7 
229번지	2 2 9 f7 m4 e3 f12 m20 
22길	2 2 f0 m20 e7 
22도	2 2 f3 m8 
22도로	2 2 f3 m8 f5 m8 
22번길	2 2 f7 m4 e3 f0 m20 e7 
22번지	2 2 f7 m4 e3 f12 m20 
22호	2 2 f18 m8 
23	2 3 
230	2 3 0 
230길	2 3 0 f0 m20 e7 
230번길	2 3 0 f7 m4 e3 f0 m20 e7 
230번지	2 3 0 f7 m4 e3 f12 m20 
231	2 3 1 
231번길	2 3 1 f7 m4 e3 f0 m20 e7 
232	2 3 2 
2320	2 3 2 0 
2321	2 3 2 1 
232번길	2 3 2 f7 m4 e3 f0 m20 e7 
232번지	2 3 2 f7 m4 e3 f12 m20 
233	2 3 3 
233번길	2 3 3 f7 m4 e3 f0 m20 e7 
234	2 3 4 
235	2 3 5 
2355번지	2 3 5 5 f7 m4 e3 f12 m20 
2359번지	2 3 5 9 f7 m4 e3 f12 m20 
235번길	2 3 5 f7 m4 e3 f0 m20 e7 
236	2 3 6 
2362	2 3 6 2 
236번길	2 3 6 f7 m4 e3 f0 m20 e7 
237	2 3 7 
2371	2 3 7 1 
237동	2 3 7 f3 m8 e20 
237번길	2 3 7 f7 m4 e3 f0 m20 e7 
237번지	2 3 7 f7 m4 e3 f12 m20 
238	2 3 8 
2385	2 3 8 5 
238번길	2 3 8 f7 m4 e3 f0 m20 e7 
239	2 3 9 
2398	2 3 9 8 
239번길	2 3 9 f7 m4 e3 f0 m20 e7 
23길	2 3 f0 m20 e7 
23도	2 3 f3 m8 
23도로	2 3 f3 m8 f5 m8 
23번	2 3 f7 m4 e3 
23번길	2 3 f7 m4 e3 f0 m20 e7 
23번지	2 3 f7 m4 e3 f12 m20 
24	2 4 
240	2 4 0 
2407	2 4 0 7 
240번길	2 4 0 f7 m4 e3 f0 m20 e7 
240번지	2 4 0 f7 m4 e3 f12 m20 
241	2 4 1 
241번길	2 4 1 f7 m4 e3 f0 m20 e7 
241번지	2 4 1 f7 m4 e3 f12 m20 
242	2 4 2 
2423	2 4 2 3 
242나길	2 4 2 f2 m0 f0 m20 e7 
242번길	2 4 2 f7 m4 e3 f0 m20 e7 
243	2 4 3 
2435	2 4 3 5 
243번길	2 4 3 f7 m4 e3 f0 m20 e7 
244	2 4 4 
244번지	2 4 4 f7 m4 e3 f12 m20 
245	2 4 5 
245번길	2 4 5 f7 m4 e3 f0 m20 e7 
246	2 4 6 
2464	2 4 6 4 
247	2 4 7 
2474	2 4 7 4 
247번지	2 4 7 f7 m4 e3 f12 m20 
248	2 4 8 
2481번길	2 4 8 1 f7 m4 e3 f0 m20 e7 
249	2 4 9 
2491번길	2 4 9 1 f7 m4 e3 f0 m20 e7 
249번길	2 4 9 f7 m4 e3 f0 m20 e7 
24길	2 4 f0 m20 e7 
24년산	2 4 f2 m6 e3 f9 m0 e3 
24도	2 4 f3 m8 
24도로	2 4 f3 m8 f5 m8 
24동	2 4 f3 m8 e20 
24번	2 4 f7 m4 e3 
24번길	2 4 f7 m4 e3 f0 m20 e7 
24번지	2 4 f7 m4 e3 f12 m20 
24시	2 4 f9 m20 
24시간	2 4 f9 m20 f0 m0 e3 
25	2 5 
250	2 5 0 
250번길	2 5 0 f7 m4 e3 f0 m20 e7 
250번지	2 5 0 f7 m4 e3 f12 m20 
251	2 5 1 
2511	2 5 1 1 
251길	2 5 1 f0 m20 e7 
251번지	2 5 1 f7 m4 e3 f12 m20 
252	2 5 2 
252번길	2 5 2 f7 m4 e3 f0 m20 e7 
252번지	2 5 2 f7 m4 e3 f12 m20 
253	2 5 3 
2530	2 5 3 0 
254	2 5 4 
255	2 5 5 
2553번길	2 5 5 3 f7 m4 e3 f0 m20 e7 
255번길	2 5 5 f7 m4 e3 f0 m20 e7 
256	2 5 6 
2566	2 5 6 6 
257	2 5 7 
2572	2 5 7 2 
257번길	2 5 7 f7 m4 e3 f0 m20 e7 
257번지	2 5 7 f7 m4 e3 f12 m20 
258	2 5 8 
2589	2 5 8 9 
258번길	2 5 8 f7 m4 e3 f0 m20 e7 
259	2 5 9 
2594	2 5 9 4 
25길	2 5 f0 m20 e7 
25단지	2 5 f3 m0 e3 f12 m20 
25도로	2 5 f3 m8 f5 m8 
25번길	2 5 f7 m4 e3 f0 m20 e7 
25번지	2 5 f7 m4 e3 f12 m20 
25시	2 5 f9 m20 
26	2 6 
260	2 6 0 
2606	2 6 0 6 
2607	2 6 0 7 
260도	2 6 0 f3 m8 
260번길	2 6 0 f7 m4 e3 f0 m20 e7 
261	2 6 1 
261번길	2 6 1 f7 m4 e3 f0 m20 e7 
262	2 6 2 
2620	2 6 2 0 
2625	2 6 2 5 
262번지	2 6 2 f7 m4 e3 f12 m20 
263	2 6 3 
2634	2 6 3 4 
2635번길	2 6 3 5 f7 m4 e3 f0 m20 e7 
264	2 6 4 
2646번지	2 6 4 6 f7 m4 e3 f12 m20 
264번길	2 6 4 f7 m4 e3 f0 m20 e7 
265	2 6 5 
2656번길	2 6 5 6 f7 m4 e3 f0 m20 e7 
265번길	2 6 5 f7 m4 e3 f0 m20 e7 
266	2 6 6 
266번길	2 6 6 f7 m4 e3 f0 m20 e7 
266번지	2 6 6 f7 m4 e3 f12 m20 
267	2 6 7 
268번지	2 6 8 f7 m4 e3 f12 m20 
269	2 6 9 
2696번길	2 6 9 6 f7 m4 e3 f0 m20 e7 
26기	2 6 f0 m20 
26기에게	2 6 f0 m20 f11 m5 f0 m5 
26길	2 6 f0 m20 e7 
26도	2 6 f3 m8 
26도로	2 6 f3 m8 f5 m8 
26메다	2 6 f6 m5 f3 m0 
26번	2 6 f7 m4 e3 
26번길	2 6 f7 m4 e3 f0 m20 e7 
26번지	2 6 f7 m4 e3 f12 m20 
27	2 7 
270	2 7 0 
2700	2 7 0 0 
2701동	2 7 0 1 f3 m8 e20 
2709	2 7 0 9 
271	2 7 1 
2711	2 7 1 1 
2718번길	2 7 1 8 f7 m4 e3 f0 m20 e7 
272	2 7 2 
272번길	2 7 2 f7 m4 e3 f0 m20 e7 
272번지	2 7 2 f7 m4 e3 f12 m20 
273	2 7 3 
274	2 7 4 
2743	2 7 4 3 
2744	2 7 4 4 
274번	2 7 4 f7 m4 e3 
274번지	2 7 4 f7 m4 e3 f12 m20 
275	2 7 5 
2754	2 7 5 4 
276	2 7 6 
277	2 7 7 
277번지	2 7 7 f7 m4 e3 f12 m20 
278	2 7 8 
278번길	2 7 8 f7 m4 e3 f0 m20 e7 
279	2 7 9 
2793	2 7 9 3 
2798	2 7 9 8 
279번지	2 7 9 f7 m4 e3 f12 m20 
27기에게	2 7 f0 m20 f11 m5 f0 m5 
27길	2 7 f0 m20 e7 
27년	2 7 f2 m6 e3 
27번길	2 7 f7 m4 e3 f0 m20 e7 
27번지	2 7 f7 m4 e3 f12 m20 
28	2 8 
280	2 8 0 
2804	2 8 0 4 
2808	2 8 0 8 
280길	2 8 0 f0 m20 e7 
281	2 8 1 
281번지	2 8 1 f7 m4 e3 f12 m20 
282	2 8 2 
283	2 8 3 
2833	2 8 3 3 
283501	2 8 3 5 0 1 
284	2 8 4 
284번길	2 8 4 f7 m4 e3 f0 m20 e7 
284번지	2 8 4 f7 m4 e3 f12 m20 
284호	2 8 4 f18 m8 
285	2 8 5 
2855	2 8 5 5 
285번길	2 8 5 f7 m4 e3 f0 m20 e7 
286	2 8 6 
286번길	2 8 6 f7 m4 e3 f0 m20 e7 
287	2 8 7 
2878	2 8 7 8 
288	2 8 8 
2889	2 8 8 9 
289	2 8 9 
2890	2 8 9 0 
2891	2 8 9 1 
289로	2 8 9 f5 m8 
28길	2 8 f0 m20 e7 
28단지	2 8 f3 m0 e3 f12 m20 
28번길	2 8 f7 m4 e3 f0 m20 e7 
28번지	2 8 f7 m4 e3 f12 m20 
29	2 9 
290	2 9 0 
2901동	2 9 0 1 f3 m8 e20 
290번길	2 9 0 f7 m4 e3 f0 m20 e7 
291	2 9 1 
2910	2 9 1 0 
292	2 9 2 
2928	2 9 2 8 
292번지	2 9 2 f7 m4 e3 f12 m20 
293	2 9 3 
2933	2 9 3 3 
294	2 9 4 
295	2 9 5 
295번길	2 9 5 f7 m4 e3 f0 m20 e7 
295번지	2 9 5 f7 m4 e3 f12 m20 
296	2 9 6 
297	2 9 7 
297가길	2 9 7 f0 m0 f0 m20 e7 
297번길	2 9 7 f7 m4 e3 f0 m20 e7 
297번지	2 9 7 f7 m4 e3 f12 m20 
298	2 9 8 
298번길	2 9 8 f7 m4 e3 f0 m20 e7 
298번지	2 9 8 f7 m4 e3 f12 m20 
299	2 9 9 
299번길	2 9 9 f7 m4 e3 f0 m20 e7 
299번지	2 9 9 f7 m4 e3 f12 m20 
29길	2 9 f0 m20 e7 
29번길	2 9 f7 m4 e3 f0 m20 e7 
29번지	2 9 f7 m4 e3 f12 m20 
29블럭	2 9 f7 m18 e7 f5 m4 e0 
2d	2 d 
2fm	2 f m 
2ne1	2 n e 1 
2가	2 f0 m0 
2공장	2 f0 m8 e20 f12 m0 e20 
2관	2 f0 m9 e3 
2기에게	2 f0 m20 f11 m5 f0 m5 
2길	2 f0 m20 e7 
2단	2 f3 m0 e3 
2단으로	2 f3 m0 e3 f11 m18 f5 m8 
2단지	2 f3 m0 e3 f12 m20 
2동	2 f3 m8 e20 
2동탄	2 f3 m8 e20 f16 m0 e3 
2동탄호수공원	2 f3 m8 e20 f16 m0 e3 f18 m8 f9 m13 f0 m8 e20 f11 m14 e3 
2번	2 f7 m4 e3 
2번길	2 f7 m4 e3 f0 m20 e7 
2번에게	2 f7 m4 e3 f11 m5 f0 m5 
2번지	2 f7 m4 e3 f12 m20 
2번지요	2 f7 m4 e3 f12 m20 f11 m12 
2부두	2 f7 m13 f3 m13 
2사단	2 f9 m0 f3 m0 e3 
2산단	2 f9 m0 e3 f3 m0 e3 
2산단3로	2 f9 m0 e3 f3 m0 e3 3 f5 m8 
2순환로	2 f9 m13 e3 f18 m9 e3 f5 m8 
2시	2 f9 m20 
2에게	2 f11 m5 f0 m5 
2열	2 f11 m6 e7 
2월	2 f11 m14 e7 
2일	2 f11 m20 e7 
2정문	2 f12 m4 e20 f6 m13 e3 
2종	2 f12 m8 e20 
2주공아파트	2 f12 m13 f0 m8 e20 f11 m0 f17 m0 f16 m18 
2주차장	2 f12 m13 f14 m0 f12 m0 e20 
2지구	2 f12 m20 f0 m13 
2차	2 f14 m0 
2차아파트	2 f14 m0 f11 m0 f17 m0 f16 m18 
2층	2 f14 m18 e20 
2터널	2 f16 m4 f2 m4 e7 
2통	2 f16 m8 e20 
2팀	2 f16 m20 e15 
2함대	2 f18 m0 e15 f3 m1 
2호	2 f18 m8 
2호선	2 f18 m8 f9 m4 e3 
2호점	2 f18 m8 f12 m4 e15 
3	3 
30	3 0 
300	3 0 0 
3001번지	3 0 0 1 f7 m4 e3 f12 m20 
300cc	3 0 0 c c 
300번지	3 0 0 f7 m4 e3 f12 m20 
301	3 0 1 
3017	3 0 1 7 
3018	3 0 1 8 
301동	3 0 1 f3 m8 e20 
301번길	3 0 1 f7 m4 e3 f0 m20 e7 
301번지	3 0 1 f7 m4 e3 f12 m20 
301호	3 0 1 f18 m8 
302	3 0 2 
302동	3 0 2 f3 m8 e20 
302번길	3 0 2 f7 m4 e3 f0 m20 e7 
302번지	3 0 2 f7 m4 e3 f12 m20 
302호	3 0 2 f18 m8 
303	3 0 3 
3030	3 0 3 0 
3032	3 0 3 2 
303관	3 0 3 f0 m9 e3 
303동	3 0 3 f3 m8 e20 
303번길	3 0 3 f7 m4 e3 f0 m20 e7 
303호	3 0 3 f18 m8 
304	3 0 4 
304동	3 0 4 f3 m8 e20 
304번길	3 0 4 f7 m4 e3 f0 m20 e7 
304번지	3 0 4 f7 m4 e3 f12 m20 
305	3 0 5 
3050	3 0 5 0 
305동에게	3 0 5 f3 m8 e20 f11 m5 f0 m5 
305번길	3 0 5 f7 m4 e3 f0 m20 e7 
305번지	3 0 5 f7 m4 e3 f12 m20 
306	3 0 6 
3065	3 0 6 5 
306동	3 0 6 f3 m8 e20 
307	3 0 7 
307동	3 0 7 f3 m8 e20 
307번지	3 0 7 f7 m4 e3 f12 m20 
308	3 0 8 
3088	3 0 8 8 
309	3 0 9 
3098	3 0 9 8 
309번길	3 0 9 f7 m4 e3 f0 m20 e7 
309번지	3 0 9 f7 m4 e3 f12 m20 
30길	3 0 f0 m20 e7 
30번길	3 0 f7 m4 e3 f0 m20 e7 
30번지	3 0 f7 m4 e3 f12 m20 
31	3 1 
310	3 1 0 
3104	3 1 0 4 
3109번지	3 1 0 9 f7 m4 e3 f12 m20 
310번지	3 1 0 f7 m4 e3 f12 m20 
311	3 1 1 
3112	3 1 1 2 
311번지	3 1 1 f7 m4 e3 f12 m20 
312	3 1 2 
3121	3 1 2 1 
3127	3 1 2 7 
313	3 1 3 
313번지	3 1 3 f7 m4 e3 f12 m20 
314	3 1 4 
315	3 1 5 
315대로	3 1 5 f3 m1 f5 m8 
315번지	3 1 5 f7 m4 e3 f12 m20 
316	3 1 6 
3162	3 1 6 2 
316동	3 1 6 f3 m8 e20 
316번	3 1 6 f7 m4 e3 
316번길	3 1 6 f7 m4 e3 f0 m20 e7 
316번지	3 1 6 f7 m4 e3 f12 m20 
317	3 1 7 
318	3 1 8 
318번지	3 1 8 f7 m4 e3 f12 m20 
319	3 1 9 
319동	3 1 9 f3 m8 e20 
31길	3 1 f0 m20 e7 
31길에	3 1 f0 m20 e7 f11 m5 
31만세로	3 1 f6 m0 e3 f9 m5 f5 m8 
31번길	3 1 f7 m4 e3 f0 m20 e7 
31번지	3 1 f7 m4 e3 f12 m20 
31에	3 1 f11 m5 
31호	3 1 f18 m8 
32	3 2 
320	3 2 0 
320번길	3 2 0 f7 m4 e3 f0 m20 e7 
321	3 2 1 
322	3 2 2 
322번지	3 2 2 f7 m4 e3 f12 m20 
323	3 2 3 
324	3 2 4 
324번지	3 2 4 f7 m4 e3 f12 m20 
325	3 2 5 
3259	3 2 5 9 
325동	3 2 5 f3 m8 e20 
326	3 2 6 
326동	3 2 6 f3 m8 e20 
327	3 2 7 
327동	3 2 7 f3 m8 e20 
327번길	3 2 7 f7 m4 e3 f0 m20 e7 
327에게	3 2 7 f11 m5 f0 m5 
328	3 2 8 
329	3 2 9 
32길	3 2 f0 m20 e7 
32길에	3 2 f0 m20 e7 f11 m5 
32단지	3 2 f3 m0 e3 f12 m20 
32번	3 2 f7 m4 e3 
32번길	3 2 f7 m4 e3 f0 m20 e7 
32번길에	3 2 f7 m4 e3 f0 m20 e7 f11 m5 
32번지	3 2 f7 m4 e3 f12 m20 
32사단	3 2 f9 m0 f3 m0 e3 
33	3 3 
330	3 3 0 
330길	3 3 0 f0 m20 e7 
330번길	3 3 0 f7 m4 e3 f0 m20 e7 
330번지	3 3 0 f7 m4 e3 f12 m20 
331	3 3 1 
332	3 3 2 
332번길	3 3 2 f7 m4 e3 f0 m20 e7 
332에게	3 3 2 f11 m5 f0 m5 
333	3 3 3 
3331	3 3 3 1 
3335	3 3 3 5 
334	3 3 4 
335	3 3 5 
335번길	3 3 5 f7 m4 e3 f0 m20 e7 
335번길에	3 3 5 f7 m4 e3 f0 m20 e7 f11 m5 
336	3 3 6 
337	3 3 7 
3379	3 3 7 9 
337가길	3 3 7 f0 m0 f0 m20 e7 
337번지	3 3 7 f7 m4 e3 f12 m20 
338	3 3 8 
3381번지	3 3 8 1 f7 m4 e3 f12 m20 
338번지	3 3 8 f7 m4 e3 f12 m20 
339	3 3 9 
339번지	3 3 9 f7 m4 e3 f12 m20 
33길	3 3 f0 m20 e7 
33길에	3 3 f0 m20 e7 f11 m5 
33로	3 3 f5 m8 
33번	3 3 f7 m4 e3 
33번길	3 3 f7 m4 e3 f0 m20 e7 
33번지	3 3 f7 m4 e3 f12 m20 
34	3 4 
340	3 4 0 
341	3 4 1 
342	3 4 2 
342번길	3 4 2 f7 m4 e3 f0 m20 e7 
342번지	3 4 2 f7 m4 e3 f12 m20 
343	3 4 3 
343번지	3 4 3 f7 m4 e3 f12 m20 
344	3 4 4 
345	3 4 5 
345번길	3 4 5 f7 m4 e3 f0 m20 e7 
345번길에	3 4 5 f7 m4 e3 f0 m20 e7 f11 m5 
346	3 4 6 
347	3 4 7 
348	3 4 8 
3482에게	3 4 8 2 f11 m5 f0 m5 
349	3 4 9 
349번길	3 4 9 f7 m4 e3 f0 m20 e7 
349번지	3 4 9 f7 m4 e3 f12 m20 
34길	3 4 f0 m20 e7 
34번길	3 4 f7 m4 e3 f0 m20 e7 
34번지	3 4 f7 m4 e3 f12 m20 
35	3 5 
350	3 5 0 
350번지	3 5 0 f7 m4 e3 f12 m20 
351	3 5 1 
353	3 5 3 
3539	3 5 3 9 
